molecule_id,smiles,target_id,predicted_pIC50,ai_status,docking_score,binding_affinity,docking_status,consensus_score,molecular_weight,logp,hbd,hba,psa,rotatable_bonds,lipinski_violations,drug_likeness_score,drug_likeness_status
mol_0,CC(C)CCN(C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OCc1ccccc1)S(C)(=O)=O,default,6.14879413084545,success,-10.24,,success,0.5203995109037874,462.61,3.19,2,5,95.94,12,0,-8.44,success
mol_1,COC(=O)N[C@H](C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN(CC1CCCCC1)NC(=O)[C@@H](NC(=O)OC)C(C)C)C(C)C,default,7.128399585305028,success,-4.44,,success,0.4086999654420857,605.78,2.75,5,8,158.33,15,1,-6.87,success
mol_2,CC(C)(C)NC(=O)[C@@H]1C[C@@H]2CCCC[C@@H]2CN1C[C@@H](O)[C@H](Cc1ccccc1)NC(=O)C1=CCCSC1,default,6.845299048912005,success,-10.69,,success,0.5934415874093337,527.78,3.93,3,5,81.67,8,1,-8.26,success
mol_3,COc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)c2cccc(N)c2C)cc1,default,7.888660246930013,success,-10.06,,success,0.6593883539108345,539.7,3.63,3,6,121.96,12,1,-7.37,success
mol_4,CCCC1(CCc2ccccc2)CC(=O)C(C(CC)c2cccc(NS(=O)(=O)c3ccccc3)c2)=C(O)O1,default,5.955169936196392,success,-7.28,,success,0.4055974946830327,533.69,6.91,2,5,92.7,11,2,-6.54,success
mol_5,CC(C)(C)n1c(SC2=C(O)OC(CCc3ccccc3)(c3ccccc3)CC2=O)nc2ccccc21,default,6.970881695595022,success,-6.76,,success,0.47290680796625184,498.65,7.13,1,6,64.35,6,1,-7.36,success
mol_6,CC(C)(C)OC(=O)N[C@@H](Cc1ccc(OCc2ccccc2)cc1)C(=O)N1CCC(=O)[C@@H]1Sc1ccccc1,default,6.9186287527487,success,-7.16,,success,0.481885729395725,546.69,5.62,1,6,84.94,9,2,-7.31,success
mol_7,CC(C)(C)OC(=O)N[C@@H](Cc1ccccc1)[C@@H](O)C[C@@H](Cc1ccncc1)C(=O)N[C@H]1c2ccccc2C[C@H]1O,default,9.194713293819406,success,-8.84,,success,0.7275594411516172,545.68,3.9,4,6,120.78,10,1,-7.49,success
mol_8,CC[C@H](C)[C@H](NC(=O)[C@@H](N)CO)C(=O)N[C@@H](C)C(=O)N[C@@H](CCC(=O)O)C(=O)Nc1cccc(O)c1,default,5.7293542309385606,success,-4.69,,success,0.3004461859115467,509.56,-0.96,8,8,220.18,14,2,-6.24,success
mol_9,CC(C)(C)OC(=O)N[C@H](CCNC[C@@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)Cc1ccccc1.O,default,6.44911107795346,success,-8.29,,success,0.4804259231627883,545.72,3.77,4,6,140.42,12,1,-6.96,success
mol_10,CC(C)(C)NC(=O)c1c(OC[C@@H](O)[C@H](Cc2ccccc2)NC(=O)[C@H](CC(N)=O)NC(=O)c2ccc3c(c2)S(=O)(=O)c2ccccc2C3=O)ccc2ccccc12,default,7.367873417012388,success,-2.14,,success,0.351989451417699,790.9,3.89,5,9,211.06,13,1,-5.86,success
mol_11,CC(C)C[C@H](NC(=O)[C@H](C)C[C@H](O)[C@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,default,7.486296081868628,success,-5.86,,success,0.48585800682238567,596.77,3.25,5,6,159.85,15,1,-6.86,success
mol_12,Cc1cccc(C)c1OC(C)C(=O)N[C@@H](Cc1ccccc1)[C@H](O)CN1CC[C@@H](OCc2ccncc2)C[C@H]1C(=O)NC(C)(C)C,default,7.2578283929591025,success,-3.77,,success,0.3971523660799252,630.83,4.52,3,7,113.02,13,1,-6.87,success
mol_13,O=C1CC(CC2CCCCC2)(c2ccccc2)OC(O)=C1SCc1ccccc1,default,6.641358387799798,success,-8.39,,success,0.49977986564998317,408.56,6.5,1,4,46.53,6,1,-8.68,success
mol_14,CSc1ccc(S(=O)(=O)N(CC(C)C)C[C@@H](O)[C@H](Cc2ccccc2)NC(=O)Cc2ccc(O)cc2)cc1,default,7.636861164391822,success,-5.77,,success,0.4954050970326518,556.75,4.09,3,6,106.94,13,1,-7.25,success
mol_15,CC(C)[C@H](NC(=O)OCCN1CCOCC1)C(=O)N[C@@H](Cc1ccccc1)[C@@H](O)[C@H](Cc1ccccc1)NC(=O)[C@H](NC(=O)OCc1ccccc1)C(C)C,default,7.999330146245302,success,-2.63,,success,0.42094417885377516,759.94,3.84,5,9,167.56,19,1,-6.18,success
