phase,t_s,max_height,live_nodes
baseline_4of4,0.0,341,4
baseline_4of4,1.0,341,4
baseline_4of4,2.1,342,4
baseline_4of4,3.1,342,4
baseline_4of4,4.2,343,4
baseline_4of4,5.2,343,4
baseline_4of4,6.3,344,4
baseline_4of4,7.4,344,4
baseline_4of4,8.4,345,4
baseline_4of4,9.5,345,4
baseline_4of4,10.5,346,4
baseline_4of4,11.6,347,4
baseline_4of4,12.6,347,4
baseline_4of4,13.7,348,4
baseline_4of4,14.8,348,4
baseline_4of4,15.8,349,4
baseline_4of4,16.9,349,4
baseline_4of4,17.9,350,4
baseline_4of4,19.0,350,4
baseline_4of4,20.0,351,4
kill1_3of4,6.2,354,3
kill1_3of4,11.3,356,3
kill1_3of4,16.5,358,3
kill1_3of4,21.7,361,3
kill2_2of4,12.3,364,2
kill2_2of4,21.5,364,2
kill2_2of4,30.7,364,2
recovered_4of4,0.0,369,4
recovered_4of4,1.1,369,4
recovered_4of4,2.1,370,4
recovered_4of4,3.2,370,4
recovered_4of4,4.2,370,4
recovered_4of4,5.2,371,4
recovered_4of4,6.3,372,4
recovered_4of4,7.3,372,4
recovered_4of4,8.4,373,4
recovered_4of4,9.5,373,4
recovered_4of4,10.5,374,4
recovered_4of4,11.6,375,4
recovered_4of4,12.6,375,4
recovered_4of4,13.7,375,4
recovered_4of4,14.8,376,4
recovered_4of4,15.8,377,4
recovered_4of4,16.8,377,4
recovered_4of4,17.9,377,4
recovered_4of4,18.9,378,4
recovered_4of4,20.0,379,4
