t_s,max_height,live_nodes,authorized_count,event,reliabilities
0.1,2543,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 0.667; "0x716671ea17ffef981181ac78688046284994b745": 0.667; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 1.0}
2.2,2544,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.667; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 0.667; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 1.0}
4.3,2545,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 0.667; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
6.4,2546,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 0.667; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
8.5,2547,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 0.667; "0x716671ea17ffef981181ac78688046284994b745": 0.667; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 1.0}
10.6,2548,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.667; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 0.667; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 1.0}
12.7,2549,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 0.667; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
14.8,2550,6,4,baseline,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 0.667; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
21.3,2554,5,4,monitor,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 0.667; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
27.5,2556,5,4,monitor,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 0.667; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.667}
33.7,2560,5,4,monitor,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.0}
44.1,2565,5,4,promoting,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 1.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xe2c299d8a098080a756bcac9e56c99b2ed4ece2f": 0.0}
99.5,2592,4,4,payoff,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xdc624395ebc1ba927928a37667d77a5b9a2847de": 1.0}
109.7,2597,4,4,payoff,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xdc624395ebc1ba927928a37667d77a5b9a2847de": 1.0}
120.0,2602,4,4,payoff,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xdc624395ebc1ba927928a37667d77a5b9a2847de": 1.0}
130.2,2608,4,4,payoff,{"0x3bb53d673cee3828a15fff17f45b2fcc14063723": 1.0; "0x716671ea17ffef981181ac78688046284994b745": 0.0; "0xd309f3d3ecf268e2d765986e11bdb4801ab609d9": 1.0; "0xdc624395ebc1ba927928a37667d77a5b9a2847de": 1.0}
