model,ort_version,numpy,threads,bitwise_identical,canonical_hash,latency_ms_mean
clf_gb_clf,1.17.3,1.26.4,1,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.557
clf_gb_clf,1.17.3,1.26.4,2,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.339
clf_gb_clf,1.17.3,1.26.4,4,True,d16546211cf9bc505120dc17e3b66eb9b472c653cf7f78eab82226da7744329d,0.248
clf_rf_clf,1.17.3,1.26.4,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,1.192
clf_rf_clf,1.17.3,1.26.4,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.715
clf_rf_clf,1.17.3,1.26.4,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,0.362
clf_svc,1.17.3,1.26.4,1,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,230.205
clf_svc,1.17.3,1.26.4,2,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,231.626
clf_svc,1.17.3,1.26.4,4,True,ae1fd128caf85aaf5af91075ffc018dc15569e7c71c2c1fe9c4c1f75c5f661ec,230.476
reg_gradient_boosting,1.17.3,1.26.4,1,True,d1b666d94815101464219f29e0ec5dc25f5c551b0a9aaa318a6f5f475555ec15,0.254
reg_gradient_boosting,1.17.3,1.26.4,2,True,9eed58f74e38e71430a2baa81fe3cd0344f767234d5ab7c64274e1491a86e2c1,0.205
reg_gradient_boosting,1.17.3,1.26.4,4,True,d4a62df077bccd29fd244b1899c2cf6f2f35dee7582d4738485806b603a87178,0.118
reg_random_forest,1.17.3,1.26.4,1,True,55ffe003aa1118fb7d71164607d2ced799597ff1762288b720b102b367755bad,2.05
reg_random_forest,1.17.3,1.26.4,2,True,3c79dd777f5ca60a201a3f64e20e8d1c981f64f7eef6b182ace18505eeb2dbf2,1.133
reg_random_forest,1.17.3,1.26.4,4,True,b1d3632fe0f9ce9f97b74ed2a3ade3f0f12c4017565b8ce48f2df25b07ea5701,0.538
reg_svr,1.17.3,1.26.4,1,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,373.029
reg_svr,1.17.3,1.26.4,2,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,374.636
reg_svr,1.17.3,1.26.4,4,True,b7d5c5be81faf814127a6f45c7c497e0355a4dfe24bb08562a2d54fa81459f1a,374.745
