molecule_id,smiles,target_id,predicted_pIC50,molecular_weight,logp,h_bond_donors,h_bond_acceptors,lipinski_violations,passes_lipinski
CHEMBL429448,CC[C@@H]1CCC[C@H](C2(OC(=O)N3CCC(N4CCCCC4)CC3)CC2)N1S(=O)(=O)c1cc(F)cc(F)c1,Amyloid-beta A4 protein,7.5691,539.69,4.91,0,5,1,False
CHEMBL4852639,O=c1cc(/C=C/c2ccc(OCCCN3CCCCC3)cc2)occ1O,Amyloid-beta A4 protein,5.9685,355.43,3.77,1,5,0,True
CHEMBL297453,O=C(O[C@@H]1Cc2c(O)cc(O)cc2O[C@@H]1c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(O)c1,Amyloid-beta A4 protein,5.0878,458.38,2.23,8,11,2,False
CHEMBL2425953,Cc1nc2cccc(/C=C/C(=O)NO)c2c(=O)n1-c1ccccc1,Amyloid-beta A4 protein,5.5,321.34,2.21,2,5,0,True
CHEMBL4225986,O=C(CCc1ccccc1)N1CCN(Cc2ccc(O)c3ncccc23)CC1,Amyloid-beta A4 protein,5.1499,375.47,3.22,1,4,0,True
CHEMBL3986412,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2cccc(OC)c2O)ccc1O,Amyloid-beta A4 protein,5.6042,368.39,3.37,2,6,0,True
CHEMBL3692695,O=C(Nc1ccc2c(c1)C[C@H]1CC[C@@H](C2)[C@H]1NS(=O)(=O)c1ccc(Cl)s1)c1ccc(C(F)(F)F)cc1,Amyloid-beta A4 protein,5.8798,555.04,6.14,2,4,2,False
CHEMBL3739947,COc1cc(F)cc(N2N=C(C)CC2=O)c1,Amyloid-beta A4 protein,5.5417,222.22,1.95,0,3,0,True
CHEMBL395313,CN1CCCC1CCNC(=O)OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1,Amyloid-beta A4 protein,6.234,506.07,4.44,1,5,1,False
CHEMBL3800317,COc1ccc(/C=C/C(=O)OCC(=O)Nc2c3c(nc4ccccc24)CCCC3)cc1OC,Amyloid-beta A4 protein,5.1485,446.5,4.33,1,6,0,True
CHEMBL2408106,COc1ccc(C(=O)/C=C/c2ccc(C(=O)NCc3ccccc3)cc2)c(O)c1,Amyloid-beta A4 protein,4.6722,387.44,4.23,2,4,0,True
CHEMBL4226598,CN1CCN(Cc2ccccc2-c2cc(C(=O)NCCN3CCCCC3)cc(C(=O)NCCN3CCCCC3)c2)CC1,Amyloid-beta A4 protein,5.6272,574.81,3.53,2,6,1,False
CHEMBL4872213,COc1cc(-c2cncn2CCC(=O)NCCOc2ccccc2)ccc1OCc1ccccc1,Amyloid-beta A4 protein,5.6714,471.56,4.72,1,6,0,True
CHEMBL4513568,COc1ccc(-c2cc(=O)c3c(O)cc(OC)c(-c4c(OC)cc(O)c5c(=O)cc(-c6ccc(O)cc6)oc45)c3o2)cc1,Amyloid-beta A4 protein,6.229,580.55,6.04,3,10,2,False
CHEMBL2402158,Oc1cc(O)cc(/C=C/c2ccc(NCc3cccc(O)c3O)cc2)c1,Amyloid-beta A4 protein,5.1576,349.39,4.29,5,5,0,True
CHEMBL3653393,CC1(c2cc(NC(=O)c3ccc(Br)cn3)ccc2F)COCC(N)=N1,Amyloid-beta A4 protein,5.9496,407.24,2.84,2,5,0,True
CHEMBL570378,CNc1ccc(-c2nc3ccc(O)cc3s2)cn1,Amyloid-beta A4 protein,7.8181,257.32,3.11,2,5,0,True
CHEMBL230931,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,Amyloid-beta A4 protein,6.2703,522.07,3.38,1,6,1,False
CHEMBL2203386,CN1CCc2cc(-c3nc4ccc(F)nc4o3)cnc21,Amyloid-beta A4 protein,7.2298,270.27,2.42,0,5,0,True
CHEMBL205400,CCC[C@H](C(=O)NCc1ccco1)[C@@H](CC(C)C)C(=O)N[C@H]1CCCCN(Cc2cccc(Oc3ccccc3)c2)C1=O,Amyloid-beta A4 protein,5.6196,587.76,6.46,2,5,2,False
CHEMBL231448,O=C(OC[C@H]1CC[C@@H](c2ccccc2)N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(CCO)CC1,Amyloid-beta A4 protein,6.3701,508.04,2.98,1,6,1,False
CHEMBL2436702,O=c1cc(-c2ccccc2)oc2cc(OCCCCCCN3CCN(CCCNc4c5c(nc6ccccc46)CCCC5)CC3)ccc12,Amyloid-beta A4 protein,4.8732,644.86,7.95,1,7,2,False
CHEMBL4868950,COc1cc(/C=C/C(=O)N2CCC[C@@H]2C(=O)NCc2ccccc2)ccc1OCc1ccccc1,Amyloid-beta A4 protein,5.4575,470.57,4.59,1,4,0,True
CHEMBL3814363,Cc1cccc(CNc2nc(N)nc3ccccc23)c1,Amyloid-beta A4 protein,5.5223,264.33,3.13,2,4,0,True
CHEMBL231545,O=C(OCCCC1CCc2ccccc2N1S(=O)(=O)c1ccc(Cl)cc1)N1CCN(C2CCCCC2)CC1,Amyloid-beta A4 protein,6.6501,560.16,5.72,0,5,2,False
CHEMBL2425960,O=C(/C=C/c1ccc2c(=O)n(CCc3ccccc3)cnc2c1)NO,Amyloid-beta A4 protein,5.4428,335.36,2.16,2,5,0,True
CHEMBL490799,CN(C)c1ccc(/C=C/c2cc3ccc(Br)cc3o2)cc1,Amyloid-beta A4 protein,5.9691,342.24,5.43,0,2,1,False
CHEMBL4111103,CC(F)(F)c1cnc(C(=O)Nc2ccc(F)c([C@@]3(C)N=C(N)OCC3(F)F)n2)c(N)n1,Amyloid-beta A4 protein,5.8441,445.35,2.15,3,8,0,True
CHEMBL4858987,CCN(CCCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1)Cc1ccc(N(C)C)cc1,Amyloid-beta A4 protein,5.6269,515.7,6.1,1,6,2,False
CHEMBL3814123,Nc1nc(NCCc2ccccc2)c2ccccc2n1,Amyloid-beta A4 protein,5.4428,264.33,2.87,2,4,0,True
CHEMBL247725,CNc1ccc(/C=C/c2cccc(/C=C/c3ccc(NC)c(O)c3)n2)cc1O,Amyloid-beta A4 protein,6.1501,373.46,4.92,4,5,0,True
CHEMBL4645437,CC(C)=CCC/C(C)=C/CCC1(C)C=Cc2c(O)cc(C)cc2O1,Amyloid-beta A4 protein,5.3867,326.48,6.34,1,2,1,False
CHEMBL4870217,COc1cccc(CNc2cc3c(=O)n4c(nc3cc2C)CCC4)c1O,Amyloid-beta A4 protein,5.3483,351.41,2.98,2,6,0,True
CHEMBL3672720,CC1=NC2(N=C1N)c1cc(-c3cncc(Cl)c3)ccc1CCC21CC1,Amyloid-beta A4 protein,5.7577,350.85,4.11,1,4,0,True
CHEMBL4226959,CN1CCN(Cc2ccccc2Nc2cc(CNCCN3CCCCC3)cc(CNCCN3CCCCC3)c2)CC1,Amyloid-beta A4 protein,5.7996,561.86,4.33,3,7,1,False
CHEMBL4874405,CCN(CCCCCCOc1ccc(C(=O)/C=C/c2ccc(N(C)C)cc2)c(O)c1)Cc1ccc(N(C)C)cc1,Amyloid-beta A4 protein,5.6099,543.75,6.88,1,6,2,False
CHEMBL200014,CCCN(CCC)C(=O)c1cccc(C(=O)N[C@@H](CC(C)C)[C@H](N)C[C@@H](C)C(=O)N[C@H](C(=O)NCc2ccccc2)C(C)C)c1,Amyloid-beta A4 protein,6.0033,621.87,4.9,4,5,1,False
CHEMBL1788121,[3H]N(c1ccc(-c2nc3ccc(O)cc3s2)cn1)C([3H])([3H])[3H],Amyloid-beta A4 protein,7.3399,265.35,3.11,2,5,0,True
CHEMBL5086270,Cc1cc(OC(F)F)cnc1C(=O)Nc1ccc(F)c([C@]2(C)CO[C@@](C)(C(F)(F)F)C(N)=N2)c1,Amyloid-beta A4 protein,5.6172,490.4,4.31,2,6,0,True
CHEMBL4864253,O=C(Nc1ccc2nc3n(c(=O)c2c1)CCC3)c1cc2ccccc2o1,Amyloid-beta A4 protein,5.6226,345.36,3.34,1,5,0,True
CHEMBL194823,O=C(CCCCC1CCSS1)NCCCNc1c2c(nc3cc(Cl)ccc13)CCCC2,Amyloid-beta A4 protein,5.5249,478.13,6.4,2,5,1,False
CHEMBL4087140,COc1ccc(CCNc2nc(Cl)nc3ccccc23)cc1OC,Amyloid-beta A4 protein,5.3648,343.81,3.96,1,5,0,True
CHEMBL4861569,CN(Cc1ccccc1)S(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl,Amyloid-beta A4 protein,5.573,434.9,4.06,2,5,0,True
CHEMBL4444043,Fc1ccc(C2C=C(c3cccc4ccccc34)Nc3nncn32)cc1,Amyloid-beta A4 protein,5.8331,342.38,4.63,1,4,0,True
CHEMBL258632,COc1cc(/C=C/c2cc(/C=C/c3ccc(O)c(OC)c3)n(-c3cccc([N+](=O)[O-])c3)n2)ccc1O,Amyloid-beta A4 protein,5.6895,485.5,5.55,2,8,1,False
CHEMBL2408099,COc1ccc(C(=O)/C=C/c2ccc(C(=O)N3CCN(C)CC3)cc2)c(O)c1,Amyloid-beta A4 protein,5.5598,380.44,2.68,1,5,0,True
CHEMBL372846,O=C(O)C1(c2ccc(-c3ccc(-c4ccc(O)cc4)c(F)c3)c(F)c2)CC1,Amyloid-beta A4 protein,4.5699,366.36,5.12,2,2,1,False
CHEMBL9323,O=C1c2c(O)cc(O)cc2O[C@H](c2ccc(O)cc2)[C@H]1O,Amyloid-beta A4 protein,4.9134,288.25,1.48,4,6,0,True
CHEMBL1208903,COc1ccc(-c2cc(=O)c3c(O)cc(O)c(-c4cc(-c5cc(=O)c6c(O)cc(O)cc6o5)ccc4OC)c3o2)cc1,Amyloid-beta A4 protein,5.7928,566.52,5.74,4,10,2,False
CHEMBL3087679,C[C@@H](C(=O)NCCCNCCCNC1=CC(=O)C(NCCCNCCCNC(=O)[C@H](C)c2ccc(-c3ccccc3)c(F)c2)=CC1=O)c1ccc(-c2ccccc2)c(F)c1,Amyloid-beta A4 protein,5.2199,819.01,6.28,6,8,3,False
CHEMBL3981143,COc1cc(/C=C/C(=O)CC(=O)/C=C/c2ccco2)ccc1O,Amyloid-beta A4 protein,5.2881,312.32,3.25,1,5,0,True
