molecule_id,smiles,tx_hash,file_source,activity_value
training_mol_1,CN(C)c1ccc(-c2cn3cc(Br)ccc3n2)cc1,0xb49b8ebda3078cb08cfbd391dbe209b92795762a68f4ed53e9253c6cc5d1b654,training_data.csv,7.99
training_mol_2,CN(C)c1ccc(-c2nc3ccc(I)cc3s2)cc1,0x03f25a3b8b4e1c05ec2139914fe07fa6d263086a4112e1fe71a741ac865928e0,training_data.csv,9.05
training_mol_3,Cc1ccc2nc(-c3ccc(N(C)C)cc3)cn2c1,0x5273b701d3c2412f76f2fdd0adae9a562098d84aa72b7944b6275ac89116a62e,training_data.csv,6.62
training_mol_4,Cc1ccc2nc(-c3ccc(Br)cc3)cn2c1,0x13788b7eb82ea111f6bdfb4c40f02346b440c80657186ee3ed8dbb7533e9498d,training_data.csv,6.2
training_mol_5,CN(C)c1ccc2nc(-c3ccc(Br)cc3)cn2c1,0xc39f306620bbeda3e848ac5f807e06d2471c6399ebc3b1bee94e6e19d40679a0,training_data.csv,6.47
training_mol_6,CN(C)c1ccc(-c2cn3cc(I)ccc3n2)cc1,0x41758d8567ed4698318480cef3355003a01d286f3c25d2bb3424bcf2558d8dec,training_data.csv,7.82
training_mol_7,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,0xa71684c0cc2b78e8d06eafb832c69985b6093cda2dd5cc0f8387c07c14036088,training_data.csv,5.3
training_mol_8,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,0xbeff233a63660b8f5c339642c8fec93ef473d89209c3be81756118be8d07291f,training_data.csv,5.57
training_mol_9,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,0x9dca8f93483ce92c5e2bb69e51ecf33779d438de5942b99927379a737d492cd2,training_data.csv,5.75
training_mol_10,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,0x79e11d2662ef9c7abf99fe802d077d161febac9fdeecdc041ad2ca17ea4a438f,training_data.csv,4.96
CHEMBL311039,CC12CCC(C1)C(C)(C)C2NS(=O)(=O)c1ccc(F)cc1,0xa52828569ad2944de719daca471deaaee9f204b033153f79ed5e7fb43c37332d,molecules_for_screening.csv,5000.0
CHEMBL450926,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1cccs1,0xd666b91993f76471831cc5ab90d51304b328eb24475b204040cffbb74c4f78bd,molecules_for_screening.csv,2700.0
CHEMBL310242,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(F)cc1,0x3934e57e0dc59ff693901326b1b6cd688863b54c93c315ea12adb65db422778d,molecules_for_screening.csv,1800.0
CHEMBL74874,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Cl)cc1,0xe30f428b53f90f710b09097cde0bbfc6a55b10e636067427abd2e35948ae2836,molecules_for_screening.csv,11000.0
CHEMBL75183,CC12CC[C@@H](C1)C(C)(C)[C@@H]2NS(=O)(=O)c1ccc(Br)cc1,0x8e75373f8b24e1d891b2e389dfd915c3085a2e73ef34e26f48299257d5c3bba9,molecules_for_screening.csv,10000.0
CHEMBL563,CC(C(=O)O)c1ccc(-c2ccccc2)c(F)c1,0x9bc1fc0164efb491993d54072390ed4c34fb741fc8dac0ce01ba1bf40e873606,molecules_for_screening.csv,305000.0
CHEMBL196279,CC(C(=O)O)c1ccc(-c2ccc(Cl)c(Cl)c2)c(F)c1,0x4898195c6b863d8d8b258c03b2ca40ef2fad18821cba82108bf7b9fa0e52c816,molecules_for_screening.csv,75000.0
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,0x0acbb01a38d2974fc32c34508c2335bc00056137c204f1fb8d1db457a93e5056,molecules_for_screening.csv,77000.0
CHEMBL195970,CC(C(=O)O)c1ccc(-c2cc(Cl)cc(Cl)c2)c(F)c1,0x0acbb01a38d2974fc32c34508c2335bc00056137c204f1fb8d1db457a93e5056,molecules_for_screening.csv,94000.0
CHEMBL264006,CC(C(=O)O)c1ccc(-c2ccc(C3CCCCC3)cc2)c(F)c1,0xdda80d24d1c8f4ddf9c9381e3bd86bd60ac55706bf5fe111799d70bd90672774,molecules_for_screening.csv,21000.0
