molecule_id,target_id,timestamp,model_version,molecule_data,screening_data,job_id,ai_duration,blockchain_duration,verification
"5alpha,8alpha-epidioxy-ergost-6,22-dien-3beta-ol",default,1757479705,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2([C@@]3(C1)OO[C@@]1([C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C=C3)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4816, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","5alpha,8alpha-epidioxy-ergost-6,22-dien-3beta-ol-1757479705",0.01497197151184082,0.4446141719818115,"{'tx_hash': '0x3a9467c48217bf72ad5cda3326473154ebf13d28b2bb8fcd7f262c2ca1cba935', 'result_id': None, 'status': 'recorded'}"
"ergosta-5,22-dien-3beta-ol",default,1757479705,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4688, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","ergosta-5,22-dien-3beta-ol-1757479705",0.006386280059814453,1.0908634662628174,"{'tx_hash': '0x66f023c248eb67face95494ec89020a4e622984be5a47d86aa4608b2d331a282', 'result_id': None, 'status': 'recorded'}"
ergosterol,default,1757479707,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(=CC=C3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.4749, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",ergosterol-1757479707,0.0053098201751708984,2.0340726375579834,"{'tx_hash': '0x83c99f3af0c97b406597f02f0b6a32cf630c4cb332ca95c9ca0151af3d572a07', 'result_id': None, 'status': 'recorded'}"
"ergosta-7,22-dien-3beta-ol",default,1757479709,1.0.0,"{'smiles': 'OC1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5493, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}","ergosta-7,22-dien-3beta-ol-1757479709",0.004518985748291016,2.2918601036071777,"{'tx_hash': '0x44d0f3986d0a32843df597760849b70745e6f2a53d9d87771e69d7f702768646', 'result_id': None, 'status': 'recorded'}"
ergosta-7-en-3beta-ol,default,1757479711,1.0.0,"{'smiles': 'O[C@H]1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CC[C@@H](C(C)C)C)C)C)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5498, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",ergosta-7-en-3beta-ol-1757479711,0.005034923553466797,0.6655950546264648,"{'tx_hash': '0x3a354dca0276aaf8e1632aba91a9ae72f0167fb29de6df000430e1fc00956f90', 'result_id': None, 'status': 'recorded'}"
lanneaflavonol,default,1757479712,1.0.0,"{'smiles': 'COc1c(O)cc(cc1O)c1oc2cc3OC(C)(C)C=Cc3c(c2c(=O)c1O)O', 'lipinski_violations': 0}","{'predicted_pIC50': 5.2734, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",lanneaflavonol-1757479712,0.005179643630981445,2.075989007949829,"{'tx_hash': '0x85cfea4cfa6600ee85adefb7fe6b3a85fd5b69982789a48c4c85446d6b9db11b', 'result_id': None, 'status': 'recorded'}"
dihydrolanneaflavonol,default,1757479714,1.0.0,"{'smiles': 'COc1c(O)cc(cc1O)[C@H]1Oc2cc3OC(C)(C)C=Cc3c(c2C(=O)[C@@H]1O)O', 'lipinski_violations': 0}","{'predicted_pIC50': 5.169, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",dihydrolanneaflavonol-1757479714,0.005770683288574219,2.455559253692627,"{'tx_hash': '0xb92c41362a82c941285014a39ffa1fa041c8b58e60baf8dd05968d93e0da6581', 'result_id': None, 'status': 'recorded'}"
myricetin-3-O-alpha-rhamnopyranoside,default,1757479716,1.0.0,"{'smiles': 'Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1cc(O)c(c(c1)O)O', 'lipinski_violations': 2}","{'predicted_pIC50': 5.18, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",myricetin-3-O-alpha-rhamnopyranoside-1757479716,0.004709482192993164,0.4200770854949951,"{'tx_hash': '0x00781919d6b200cfc64f5ab0b4adf3c7d37e9a7d26eaeb0853e47e2c45b38187', 'result_id': None, 'status': 'recorded'}"
myricetin-3-O-alpha-arabinofuranoside,default,1757479717,1.0.0,"{'smiles': 'OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1cc(O)c(c(c1)O)O', 'lipinski_violations': 2}","{'predicted_pIC50': 5.0933, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",myricetin-3-O-alpha-arabinofuranoside-1757479717,0.0056362152099609375,2.0970194339752197,"{'tx_hash': '0xa19be51e336cdcc4dc2a49548638329b3517ebdeb1395d595831beea8a0c1f70', 'result_id': None, 'status': 'recorded'}"
lupeol,default,1757479719,1.0.0,"{'smiles': 'CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C', 'lipinski_violations': 1}","{'predicted_pIC50': 5.5732, 'assessment': 'UNFAVORABLE - Weak binding and/or poor drug-like properties'}",lupeol-1757479719,0.003682374954223633,1.94166898727417,"{'tx_hash': '0x3ca19572480e849ead634f419106bf64f514a81ea403aea1efeac30f19c51ca0', 'result_id': None, 'status': 'recorded'}"
