molecule_id,smiles
"5alpha,8alpha-epidioxy-ergost-6,22-dien-3beta-ol",O[C@H]1CC[C@]2([C@@]3(C1)OO[C@@]1([C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C=C3)C
"ergosta-5,22-dien-3beta-ol",O[C@H]1CC[C@]2(C(=CC[C@@H]3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C
ergosterol,O[C@H]1CC[C@]2(C(=CC=C3[C@@H]2CC[C@]2([C@H]3CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C1)C
"ergosta-7,22-dien-3beta-ol",OC1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](/C=C/[C@@H](C(C)C)C)C)C)C
ergosta-7-en-3beta-ol,O[C@H]1CC[C@]2(C(C1)CC=C1[C@@H]2CC[C@]2([C@H]1CC[C@@H]2[C@@H](CC[C@@H](C(C)C)C)C)C)C
lanneaflavonol,COc1c(O)cc(cc1O)c1oc2cc3OC(C)(C)C=Cc3c(c2c(=O)c1O)O
dihydrolanneaflavonol,COc1c(O)cc(cc1O)[C@H]1Oc2cc3OC(C)(C)C=Cc3c(c2C(=O)[C@@H]1O)O
myricetin-3-O-alpha-rhamnopyranoside,Oc1cc(O)c2c(c1)oc(c(c2=O)O[C@@H]1O[C@@H](C)[C@@H]([C@H]([C@H]1O)O)O)c1cc(O)c(c(c1)O)O
myricetin-3-O-alpha-arabinofuranoside,OC[C@@H]1O[C@H]([C@@H]([C@H]1O)O)Oc1c(oc2c(c1=O)c(O)cc(c2)O)c1cc(O)c(c(c1)O)O
lupeol,CC(=C)[C@@H]1CC[C@]2([C@H]1[C@H]1CC[C@H]3[C@@]([C@]1(C)CC2)(C)CC[C@@H]1[C@]3(C)CC[C@@H](C1(C)C)O)C
