molecule_id,predicted_pIC50,molecular_weight,logp,h_bond_donors,h_bond_acceptors,passes_lipinski
CHEMBL570378,7.8181,257.32,3.11,2,5,True
CHEMBL429448,7.5691,539.69,4.91,0,5,False
CHEMBL2048310,7.4199,258.25,3.38,2,4,True
CHEMBL236191,7.3577,529.65,3.34,1,6,False
CHEMBL1788121,7.3399,265.35,3.11,2,5,True
CHEMBL2203386,7.2298,270.27,2.42,0,5,True
CHEMBL3330749,6.9936,300.4,4.96,0,4,True
CHEMBL231545,6.6501,560.16,5.72,0,5,False
CHEMBL489792,6.5942,323.39,4.69,0,4,True
CHEMBL231448,6.3701,508.04,2.98,1,6,False
